,Moon,LLO,L2,L1,L4/5,GEO,LEO,Earth,NEOs
Moon,,2,2,2,2,2,2,,
LLO,,,,,,,,,
L2,,,,,,,,,
L1,,,,,,,,,
L4/5,,,,,,,,,
GEO,,,,,,,,,
LEO,,,,,,,,,
Earth,,,,,,,,,
NEOs,,,,,,,,,
