,Moon,LLO,EML2,EML1,EML4/5,GEO,LEO,NEOs
Moon,,2,1,1,1,1,1,
LLO,1,,1,1,1,1,1,
EML2,1,1,,1,1,1,1,2
EML1,1,1,1,,1,1,1,
EML4/5,1,1,1,1,,1,1,
GEO,1,1,1,1,1,,1,
LEO,1,1,1,1,1,1,,
NEOs,,,1,,,,,
