,Moon,LLO,L2,L1,L4/5,GEO,LEO,Earth,NEOs
Moon,,,,,,,1,,
LLO,,,,,,,1,,
L2,,,,,,,1,,
L1,,,,,,,1,,
L4/5,,,,,,,1,,
GEO,,,,,,,1,,
LEO,,,,,,,,,
Earth,,,,,,,,,
NEOs,,,,,,,,,
