,Moon,LLO,L2,L1,L4/5,GEO,LEO,NEOs
Moon,,1.1,1.1,1.1,1.1,1.1,1.1,
LLO,1.1,,1.1,1.1,1.1,1.1,1.1,
L2,1.1,1.1,,1.1,1.1,1.1,1.1,1.1
L1,1.1,1.1,1.1,,1.1,1.1,1.1,
L4/5,1.1,1.1,1.1,1.1,,1.1,1.1,
GEO,1.1,1.1,1.1,1.1,1.1,,1.1,
LEO,1.1,1.1,1.1,1.1,1.1,1.1,,1.1
NEOs,,,1.1,,,,,
